@type,name,identifier,url,image,startDate,endDate,location/name,location/identifier,location/url,location/address/streetAddress,location/address/addressLocality,location/address/postalCode,location/address/addressCountry/identifier,location/address/addressCountry/name,location/address/x-timezone,location/geo/latitude,location/geo/longitude
Festival,Twilight Open Air Festival,jambase:12876095,https://www.jambase.com/festival/twilight-open-air-festival-2024,https://www.jambase.com/wp-content/uploads/2024/09/457319121_1079749986843729_767595283883111976_n-1480x832.jpg,2024-11-29,2024-12-04,Pecan Bush Lodge,jambase:8024797,https://www.jambase.com/venue/pecan-bush-lodge,2G6R+492,Magaliesburg,1791,ZA,South Africa,Africa/Johannesburg,-25.9897,27.5387
Festival,Plett Rage,jambase:12858316,https://www.jambase.com/festival/plett-rage-2024,https://www.jambase.com/wp-content/uploads/2018/10/plettrage-1480x832.jpg,2024-11-29,2024-12-06,Plettenberg Bay,jambase:4768345,https://www.jambase.com/venue/plettenberg-bay,6600 Plettenberg Bay,Plettenberg Bay,,ZA,South Africa,Africa/Johannesburg,-34.0538,23.3776
Festival,ABODE in the Dam,jambase:11508463,https://www.jambase.com/festival/abode-in-the-dam-2024,https://www.jambase.com/wp-content/uploads/2024/01/damdatelogoblk2024_-e1705163806792-1480x832.png,2024-11-29,2024-12-02,Panama,jambase:424537,https://www.jambase.com/venue/panama,Oostelijke Handelskade 4,Amsterdam,1019,NL,Netherlands,Europe/Amsterdam,52.375,4.9305
Festival,A3,jambase:12497135,https://www.jambase.com/festival/a3-2024,https://www.jambase.com/wp-content/uploads/2024/07/a3-2024-featured-1480x832.jpg,2024-11-29,2024-12-02,Lardner Park,jambase:5816102,https://www.jambase.com/venue/lardner-park,155 Burnt Store Rd,Lardner,3820,AU,Australia,Australia/Melbourne,-38.2026,145.8658
Festival,Cream Weekender,jambase:11508467,https://www.jambase.com/festival/cream-weekender-2024,https://www.jambase.com/wp-content/uploads/2024/01/cream-2024-2560x1500-1-e1705164047116-1480x832.webp,2024-11-29,2024-12-02,Butlin’s Minehead,jambase:2153689,https://www.jambase.com/venue/butlins-minehead,Warren Rd,Minehead,TA24 5SH,GB,United Kingdom,Europe/London,51.2067,-3.4615
Festival,Zero Infinity,jambase:13369168,https://www.jambase.com/festival/zero-infinity-2024,https://www.jambase.com/wp-content/uploads/2024/11/zero-infinity-2024-featured-e1732556686491-1480x832.png,2024-12-01,2024-12-02,Atlantis Sanya,jambase:13369295,https://www.jambase.com/venue/atlantis-sanya,North Haitang Bei Road,三亚市,572013,CN,China,Asia/Shanghai,18.4,109.7525
Festival,Palm Tree Music Festival Sydney,jambase:12575677,https://www.jambase.com/festival/palm-tree-music-festival-sydney-2024,https://www.jambase.com/wp-content/uploads/2022/04/palm-tree-music-fest-2022-1480x832.png,2024-12-06,2024-12-06,Sydney Showground,jambase:324075,https://www.jambase.com/venue/sydney-showground, Showground Road,Sydney Olympic Park,2127,AU,Australia,Australia/Sydney,-33.8475,151.0679
Festival,Good Things Melbourne,jambase:12700376,https://www.jambase.com/festival/good-things-melbourne-2024,https://www.jambase.com/wp-content/uploads/2024/08/good-things-brisbane-2024-featured-e1724344182217-1480x832.jpg,2024-12-06,2024-12-06,Flemington Racecourse,jambase:669998,https://www.jambase.com/venue/flemington-racecourse,448 Epsom Rd,Flemington,3031,AU,Australia,Australia/Melbourne,-37.7869,144.9204
Festival,Tropico,jambase:12967876,https://www.jambase.com/festival/tropico-2024,https://www.jambase.com/wp-content/uploads/2023/09/tropico-festival-2023-featured-e1695743814542-1480x832.jpg,2024-12-06,2024-12-08,Hotel Pierre Mundo Imperial,jambase:3584766,https://www.jambase.com/venue/hotel-pierre-mundo-imperial,"Costera de las Palmas s/n, Granjas del Marques",Acapulco,,MX,Mexico,America/Mexico_City,16.7917,-99.8247
Festival,Meredith Music Festival,jambase:12781744,https://www.jambase.com/festival/meredith-music-festival-2024,https://www.jambase.com/wp-content/uploads/2023/09/meredith-music-festival-2023-featured-e1695742634979-1480x832.jpg,2024-12-06,2024-12-08,Meredith Supernatural Amphitheatre,jambase:673887,https://www.jambase.com/venue/meredith-supernatural-amphitheatre, Nolan Road,Meredith,3333,AU,Australia,Australia/Melbourne,-37.8433,143.9364
